　,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,わ,お,ん,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ,ゃ,ゅ,ょ,ヴ,ぁ,ぃ,ぅ,ぇ,ぉ,っ,ー
な,-5256,-1746,-5568,-5568,-5334,-2994,-5568,-4320,-5490,-5022,-5256,-5256,-5412,-5568,-5568,-5412,-5568,-5568,-5568,-5256,-5568,-4008,-5568,-5568,-5490,-4710,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5256,-5568,-5568,-5568,-5412,-5568,-2994,-4320,-5568,-5490,-5568,-5412,-5568,-5568,-5490,-5178,-5334,-5490,-5568,-5568,-5568,-5100,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4086,-5568
に,-5178,-5334,-5490,-5568,-5334,-4788,-5178,-5412,-5568,-5334,-5412,-4866,-5490,-5568,-5334,-5412,-5334,-5100,-5568,-5412,-4008,-5568,-5490,-5568,-5568,-3618,-5490,-5334,-5568,-5568,-5568,-5568,-5490,-5568,-4632,-5412,-5568,-5334,-4944,-5568,-5568,-5100,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5412,-5412,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5490,-5568,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ぬ,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ね,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5412,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4632,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
の,-4710,-5256,-5490,-5568,-5568,-4242,-5568,-5568,-5412,-4866,-5490,-5490,-5490,-5568,-5568,-5412,-5568,-5568,-5568,-5412,-4242,-5334,-5568,-5490,-5334,-4632,-5568,-5568,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5022,-5412,-5568,-4866,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4398,-5568,-5568,-4242,-5412,-5490,-5412,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
は,-4554,-3540,-5490,-5568,-5256,-5568,-5412,-5490,-5568,-5334,-5412,-5256,-5256,-5568,-5100,-5334,-5490,-5568,-5568,-5568,-4242,-5412,-5568,-5568,-5568,-5490,-5100,-5568,-5568,-5490,-4710,-5568,-5334,-5568,-5412,-5490,-5568,-5568,-5568,-5568,-5412,-5568,-5490,-5568,-5412,-5490,-5568,-5412,-5568,-5568,-5568,-5412,-5568,-5568,-5412,-5178,-5568,-5490,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4944,-5568
ひ,-5568,-5490,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5490,-5568,-5568,-5412,-5568,-5490,-5568,-5568,-5568,-5568,-4476,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5100,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568
ふ,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4944,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568
へ,-5568,-5568,-5568,-5178,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5490,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5334,-5568,-5568,-5568,-5568,-5568,-4086,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
ほ,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5412,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-4476,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5022,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5256,-5412
ま,-5100,-4788,-5490,-5334,-5568,-5568,-5568,-5490,-5490,-5490,-5256,-3930,-2682,-3852,-5568,-4788,-5568,-5568,-5568,-5568,-5490,-4710,-5568,-5568,-5412,-5490,-5568,-5568,-4320,-5568,-5100,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5334,-5568,-4944,-5490,-5568,-5568,-5568,-5568,-5490,-5490,-5412,-5568,-5568,-5256,-5568,-5568,-4944,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-3072,-5568
み,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5490,-5568,-4476,-5568,-5412,-5568,-5256,-4866,-5568,-5568,-5568,-5412,-5256,-5568,-5568,-5568,-5568,-5412,-5490,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5490,-5568,-5568,-5568,-5568,-5568,-5256,-5490,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568,-5568
